model,cv_mse_mean,cv_mse_std,train_mse,test_mse,test_rmse,test_mae,directional_accuracy
LASSO,0.0011596281160517843,0.0007493641325438275,0.0010462350344871162,0.0008958097262181127,0.02993008062498517,0.021070889222589054,0.6486486486486487
EN,0.0011596281160517843,0.0007493641325438275,0.0010462350344871162,0.0008958097262181127,0.02993008062498517,0.021070889222589054,0.6486486486486487
KNN,0.0012106029033573048,0.0006497800888975322,0.0008538624697419567,0.0010216518995738659,0.03196328987407063,0.023878972482376876,0.5135135135135135
ETR,0.0013279212062525373,0.0006818132182161529,2.3694178941662015e-33,0.0010630374998224063,0.03260425585444953,0.02500593304183831,0.5135135135135135
LR,0.003944934828862318,0.0036367422687983977,0.0008952283578441968,0.0010965951272670755,0.033114877732932604,0.02660596253035642,0.43243243243243246
ABR,0.001308783254932332,0.0006365993938491874,0.0003900236536092533,0.001232392038767705,0.035105441725859325,0.028667249733904186,0.43243243243243246
GBR,0.0015414330003365184,0.0008070060584760509,3.475691107244812e-05,0.0012721250545965478,0.03566686213555305,0.028863057208283815,0.4594594594594595
XGB,0.0014083475255245652,0.0007485278913065477,0.00016256887771750472,0.0012979959868708176,0.03602771137431321,0.02863408336847854,0.3783783783783784
RFR,0.0013440548926644995,0.0007139500868750038,0.00015721989670283517,0.001359772096516755,0.03687508774927532,0.029796663683723714,0.3783783783783784
SVR,0.0018068916161050829,0.0011446370044742942,0.002523997961931714,0.0025123422142919643,0.05012327018752831,0.04567405351630608,0.35135135135135137
CART,0.002426358216536604,0.0010848849037323302,0.0,0.0029974715639702297,0.054749169527676216,0.043289290332663974,0.5945945945945946
